Date ,Country,Factory,Style #,Style description,Inspection Type,PO,Order QTY,Status,Exit Factory Date,Brand,QTY of Inspection Date Changes,Date Report Emailed to Factory,Comments
"Thursday, 1 January 2026",,,,New Year Holiday,,,,,,,,,
"Friday, 2 January 2026",,,,,,,,,,,,,
"Saturday, 3 January 2026",,,,,,,,,,,,,
"Sunday, 4 January 2026",,,,,,,,,,,,,
"Monday, 5 January 2026",,,,"Go to Topkey by plane and car, arrive at factory about 1pm",,,,,,,,,
"Monday, 5 January 2026",China,Topkey,,GT1 Expedition Helmet Accessory,Final,PO3516,1905,PASS,01/05/26,Klim,,,
"Tuesday, 6 January 2026",China,Topkey,,X1/Krios Pro/Krios/F3 Carbon Pro accessories,Final,PO3658,5327,PASS,01/05/26,Klim,,,
"Wednesday, 7 January 2026",China,Topkey,3560-000,GT1 Expedition Helmet ECE/DOT,Inline,PO3483,307,PASS,01/13/26,Klim,,,
"Thursday, 8 January 2026",,,,"Back to home by plane and car ,arrive at home about 4pm",,,,,,,,,
"Friday, 9 January 2026",,,,No schedule,,,,,,,,,
"Saturday, 10 January 2026",,,,,,,,,,,,,
"Sunday, 11 January 2026",,,,,,,,,,,,,
"Monday, 12 January 2026",,,,No schedule,,,,,,,,,
"Tuesday, 13 January 2026",,,,No schedule,,,,,,,,,
"Wednesday, 14 January 2026",,,,No schedule,,,,,,,,,
"Thursday, 15 January 2026",,,,No schedule,,,,,,,,,
"Friday, 16 January 2026",,,,No schedule,,,,,,,,,
"Saturday, 17 January 2026",,,,,,,,,,,,,
"Sunday, 18 January 2026",,,,,,,,,,,,,
"Monday, 19 January 2026",,,,No schedule,,,,,,,,,
"Tuesday, 20 January 2026",,,,No schedule,,,,,,,,,
"Wednesday, 21 January 2026",,,,No schedule,,,,,,,,,
"Thursday, 22 January 2026",,,,No schedule,,,,,,,,,
"Friday, 23 January 2026",,,,No schedule,,,,,,,,,
"Saturday, 24 January 2026",,,,,,,,,,,,,
"Sunday, 25 January 2026",,,,,,,,,,,,,
"Monday, 26 January 2026",,,,No schedule,,,,,,,,,
"Tuesday, 27 January 2026",,,,No schedule,,,,,,,,,
"Wednesday, 28 January 2026",,,,"Go to Topkey by plane and car, arrive at factory about 1pm",,,,,,,,,
"Wednesday, 28 January 2026",China,Topkey,3610-001,Krios Pro Helmet ECE/DOT,Final,PO3645,1610,PASS,02/02/26,Klim,,,
"Thursday, 29 January 2026",China,Topkey,3550-000,X1 Alpha Helmet ECE/DOT,Final,PO3594,255,PASS,02/06/26,Klim,,,
"Thursday, 29 January 2026",China,Topkey,3550-000,X1 Alpha Helmet ECE/DOT,Final,PO3594,2563,PASS,02/06/26,Klim,,,
"Thursday, 29 January 2026",China,Topkey,3550-000,X1 Alpha Helmet ECE/DOT,Final,PO3594,1804,PASS,01/30/26,Klim,,,
"Friday, 30 January 2026",China,Topkey,3550-000,X1 Alpha Helmet ECE/DOT,Final,PO3594,1655,PASS,01/30/26,Klim,,,
"Friday, 30 January 2026",China,Topkey,3560-000,GT1 Expedition Helmet ECE/DOT,Final,PO3483,402,PASS,01/30/26,Klim,,,
"Friday, 30 January 2026",China,Topkey,,GT1 Expedition Helmet Accessory/X1 comfort liner accessories,Final,PO3516/3658,560,PASS,01/30/26,Klim,,,
"Friday, 30 January 2026",China,Topkey,3564-000,F3 Carbon Pro Off-Road Helmet ECE,Final,PO3645,600,PASS,01/30/26,Klim,,,
"Saturday, 31 January 2026",,,,"Back to home by plane and car ,arrive at home about 4pm",,,,,,,,,
