Date ,Country,Factory,Style #,Style description,Inspection Type,PO,Order QTY,Status,Exit Factory Date,Brand,QTY of Inspection Date Changes,Date Report Emailed to Factory,Comments
"Thursday, 1 January 2026",,,,,,,,,,,,,
"Friday, 2 January 2026",,,,Go to Kadena by car and bus reached about 11 am ,,,,,,,,,
"Saturday, 3 January 2026",Bangladesh,Kadena Sportwear Ltd,3333-002,FORECAST JACKET,ppm,3568,864,,31/12/2025,Klim,,,
,Bangladesh,Kadena Sportwear Ltd,3333-002,FORECAST JACKET,ppm,3568.1,998,,20/04/2026,Klim,,,
,,,,"Back to home by bus & car, reached home about  11 pm",,,,,,,,,
"Sunday, 4 January 2026",Bangladesh,Kadena Sportwear Ltd,5021-000 ,XC Pro Pant,final ,3568,1002,,31/12/2025,Klim,,,not yet ready
,,,,,,,,,,,,,
"Monday, 5 January 2026",,,,No schedule,,,,,,,,,
,,,,Go to Kadena by car and bus reached about 11 am ,,,,,,,,,
"Tuesday, 6 January 2026",Bangladesh,Kadena Sportwear Ltd,3121-002,FORECAST PANT,final ,3568,421,,31/12/2025,Klim,,,not yet ready
,Bangladesh,Kadena Sportwear Ltd,5021-000 ,XC Pro Pant,final ,3568,1002,Pass,31/12/2025,Klim,,,
,,,,"Back to home by bus & car, reached home about  11pm",,,,,,,,,
"Wednesday, 7 January 2026",,,,No schedule,,,,,,,,,
"Thursday, 8 January 2026",,,,No schedule,,,,,,,,,
"Friday, 9 January 2026",,,,,,,,,,,,,
"Saturday, 10 January 2026",,,,,,,,,,,,,
"Sunday, 11 January 2026",,,,Go to Kadena by car and bus reached about 11 am ,,,,,,,,,
"Sunday, 11 January 2026",Bangladesh,Kadena Sportwear Ltd,3333-002,FORECAST JACKET,inline,3568,864,Pass,31/12/2025,Klim,,,
"Sunday, 11 January 2026",Bangladesh,Kadena Sportwear Ltd,3121-002,FORECAST PANT,inline,3568,421,Pass,31/12/2025,Klim,,,
"Sunday, 11 January 2026",,,,"Back to home by bus & car, reached home about 11,30 pm",,,,,,,,,
"Monday, 12 January 2026",,,,No schedule,,,,,,,,,
"Tuesday, 13 January 2026",,,,No schedule,,,,,,,,,
"Wednesday, 14 January 2026",,,,No schedule,,,,,,,,,
"Thursday, 15 January 2026",,,,No schedule,,,,,,,,,
"Friday, 16 January 2026",,,,,,,,,,,,,
"Saturday, 17 January 2026",,,,,,,,,31/12/2025,Klim,,,
"Sunday, 18 January 2026",,,,Go to Kadena by car and bus stayed at hotel ,,,,,,Klim,,,
"Monday, 19 January 2026",,,,Meeting with kadena at 8;30 am,,,,,,,,,
"Monday, 19 January 2026",Bangladesh,Kadena Sportwear Ltd,3121-002,FORECAST PANT,final ,3568,421,Fail,31/12/2025,,,,Ins:fail due to  fnt &back rise short .8 mm to 1 cm54 pca tall 
"Tuesday, 20 January 2026",Bangladesh,Kadena Sportwear Ltd,3333-002,FORECAST JACKET,final ,3568,864,Pass,,,,,
,,,,"Back to home by bus & car, reached home about 11.00pm",,,,,,,,,
